team,year,rank,points,year,rank,points,year,rank,points,year,rank,points,year,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,season,totalPPA,percentPPA
Tulsa,2014,79,130.3,2015,109,116.08,2016,95,128.52,2017,85,135.07,2014,12,2,10,0,13,6,7,0,13,10,3,0,12,2,10,0,2018,205.8,0.74
SMU,2014,80,128.23,2015,81,142.99,2016,75,152.27,2017,80,140.4,2014,12,1,11,0,12,2,10,0,12,5,7,0,13,7,6,0,2018,321.9,0.639
Nevada,2014,81,126.15,2015,98,122.5,2016,105,118.76,2017,95,125.03,2014,13,7,6,0,13,7,6,0,12,5,7,0,12,3,9,0,2018,267.0,0.807
Southern Mississippi,2014,82,125.74,2015,87,133.4,2016,100,126.05,2017,74,152.71,2014,12,3,9,0,14,9,5,0,13,7,6,0,13,8,5,0,2018,166.0,0.429
San José State,2014,83,124.98,2015,62,167.14,2016,84,137.84,2017,98,122.11,2014,12,3,9,0,13,6,7,0,12,4,8,0,13,2,11,0,2018,167.7,0.986
Fresno State,2014,84,124.42,2015,72,155.02,2016,85,137.22,2017,84,137.74,2014,14,6,8,0,12,3,9,0,12,1,11,0,14,10,4,0,2018,343.7,0.855
Middle Tennessee,2014,85,124.03,2015,86,134.77,2016,96,128.26,2017,91,128.1,2014,12,6,6,0,13,7,6,0,13,8,5,0,13,7,6,0,2018,259.2,0.762
Colorado State,2014,86,122.77,2015,119,101.72,2016,76,150.5,2017,73,158.09,2014,13,10,3,0,13,7,6,0,13,7,6,0,13,7,6,0,2018,115.8,0.209
Appalachian State,2014,87,121.25,2015,114,112.03,2016,109,111.72,2017,107,116.78,2014,12,7,5,0,13,11,2,0,13,10,3,0,13,9,4,0,2018,133.0,0.324
Western Kentucky,2014,88,121.12,2015,111,115.65,2016,101,124.1,2017,82,138.03,2014,13,8,5,0,14,12,2,0,14,11,3,0,13,6,7,0,2018,100.2,0.22
