id,week,home_id,home_team,home_points,away_id,away_team,away_points
401013075,4,251,Texas,31,2628,TCU,16
401013450,4,2335,Liberty,7,249,North Texas,47
401016406,4,252,BYU,30,2377,McNeese,3
401012290,4,2633,Tennessee,21,57,Florida,47
401013126,4,276,Marshall,20,152,NC State,37
401014998,4,2572,Southern Mississippi,40,242,Rice,22
401012287,4,99,LSU,38,2348,Louisiana Tech,21
401021662,4,2032,Arkansas State,27,2439,UNLV,20
401012286,4,96,Kentucky,28,344,Mississippi State,7
401013066,4,201,Oklahoma,28,349,Army,21
401013324,4,197,Oklahoma State,17,2641,Texas Tech,41
401014999,4,2636,UT San Antonio,25,326,Texas State,21
401021664,4,2433,Louisiana Monroe,27,2653,Troy,35
401021663,4,309,Louisiana,28,324,Coastal Carolina,30
401013440,4,2638,UTEP,20,166,New Mexico State,27
401012285,4,2,Auburn,34,8,Arkansas,3
401012854,4,84,Indiana,21,127,Michigan State,35
401012749,4,2483,Oregon,31,24,Stanford,38
401019493,4,248,Houston,70,2640,Texas Southern,14
401019492,4,58,South Florida,20,151,East Carolina,13
401019494,4,235,Memphis,52,6,South Alabama,35
401012865,4,2294,Iowa,17,275,Wisconsin,28
401020683,4,21,San Diego State,23,2199,Eastern Michigan,20
401022522,4,328,Utah State,42,2005,Air Force,32
401012751,4,264,Washington,27,9,Arizona State,20
401022524,4,62,Hawai'i,42,2184,Duquesne,21
401013466,5,2390,Miami,47,153,North Carolina,10
401019496,5,2655,Tulane,40,235,Memphis,24
401012752,5,38,Colorado,38,26,UCLA,16
401012293,5,245,Texas A&M,24,8,Arkansas,17
401013131,5,228,Clemson,27,183,Syracuse,23
401013130,5,103,Boston College,45,218,Temple,35
401012292,5,333,Alabama,56,309,Louisiana,14
401013134,5,59,Georgia Tech,63,189,Bowling Green,17
401012881,5,127,Michigan State,31,2117,Central Michigan,20
401013050,5,2305,Kansas,28,197,Oklahoma State,48
401012824,5,164,Rutgers,17,84,Indiana,24
401013369,5,2084,Buffalo,13,349,Army,42
401013325,5,2641,Texas Tech,34,277,West Virginia,42
401013135,5,152,NC State,35,258,Virginia,21
401013361,5,195,Ohio,58,113,UMass,42
401021668,5,2247,Georgia State,46,2433,Louisiana Monroe,14
401020687,5,2050,Ball State,52,2309,Kent State,24
401013030,5,201,Oklahoma,66,239,Baylor,33
401013060,5,2306,Kansas State,14,251,Texas,19
401021665,5,2026,Appalachian State,52,6,South Alabama,7
401021667,5,2653,Troy,45,324,Coastal Carolina,21
401019497,5,41,Connecticut,7,2132,Cincinnati,49
401015006,5,151,East Carolina,37,295,Old Dominion,35
401020750,5,193,Miami (OH),39,2711,Western Michigan,40
401013338,5,158,Nebraska,28,2509,Purdue,42
401013137,5,154,Wake Forest,56,242,Rice,24
401013133,5,97,Louisville,24,52,Florida State,28
401013136,5,2116,UCF,45,221,Pittsburgh,14
401012295,5,61,Georgia,38,2633,Tennessee,12
401012294,5,2,Auburn,24,2572,Southern Mississippi,13
401012299,5,238,Vanderbilt,31,2634,Tennessee State,27
401022525,5,2005,Air Force,25,2440,Nevada,28
401012892,5,77,Northwestern,17,130,Michigan,20
401020688,5,2199,Eastern Michigan,23,2459,Northern Illinois,26
401021666,5,290,Georgia Southern,28,2032,Arkansas State,21
401012298,5,344,Mississippi State,6,57,Florida,13
401013451,5,167,New Mexico,43,2335,Liberty,52
401012756,5,265,Washington State,28,254,Utah,24
401019498,5,2567,SMU,63,2277,Houston Baptist,27
401022527,5,23,San José State,41,62,Hawai'i,44
401015007,5,2636,UT San Antonio,30,2638,UTEP,21
401015001,5,5,UAB,28,2429,Charlotte,7
401013132,5,150,Duke,14,259,Virginia Tech,31
401022526,5,2751,Wyoming,14,68,Boise State,34
401015003,5,2393,Middle Tennessee,25,2226,Florida Atlantic,24
401013041,5,2628,TCU,17,66,Iowa State,14
401015004,5,249,North Texas,27,2348,Louisiana Tech,29
401012758,5,87,Notre Dame,38,24,Stanford,17
401015005,5,98,Western Kentucky,17,276,Marshall,20
401012296,5,96,Kentucky,24,2579,South Carolina,10
401013347,5,213,Penn State,26,194,Ohio State,27
401015002,5,2229,Florida International,55,2029,Arkansas-Pine Bluff,9
401012755,5,264,Washington,35,252,BYU,7
401012297,5,99,LSU,45,145,Ole Miss,16
401012754,5,9,Arizona State,52,204,Oregon State,24
401020689,5,278,Fresno State,49,2649,Toledo,27
401012753,5,12,Arizona,20,30,USC,24
401012757,5,25,California,24,2483,Oregon,42
401021669,6,2653,Troy,37,2247,Georgia State,20
401019499,6,248,Houston,41,202,Tulsa,26
401013138,6,97,Louisville,31,59,Georgia Tech,66
401015010,6,276,Marshall,24,2393,Middle Tennessee,34
401016407,6,252,BYU,20,328,Utah State,45
401020752,6,2117,Central Michigan,24,2084,Buffalo,34
401012305,6,2579,South Carolina,37,142,Missouri,35
401019503,6,218,Temple,49,151,East Carolina,6
401013051,6,277,West Virginia,38,2305,Kansas,22
401012808,6,164,Rutgers,17,356,Illinois,38
401012300,6,8,Arkansas,31,333,Alabama,65
401019501,6,2132,Cincinnati,37,2655,Tulane,21
401012876,6,130,Michigan,42,120,Maryland,21
401013067,6,201,Oklahoma,45,251,Texas,48
401012882,6,127,Michigan State,19,77,Northwestern,29
401020753,6,2711,Western Michigan,27,2199,Eastern Michigan,24
401013142,6,221,Pittsburgh,44,183,Syracuse,37
401013139,6,152,NC State,28,103,Boston College,23
401020754,6,2050,Ball State,16,2459,Northern Illinois,24
401022528,6,68,Boise State,13,21,San Diego State,19
401021670,6,290,Georgia Southern,48,6,South Alabama,13
401013140,6,154,Wake Forest,3,228,Clemson,63
401020812,6,2006,Akron,17,193,Miami (OH),41
401019504,6,2005,Air Force,35,2426,Navy,7
401020751,6,2649,Toledo,52,189,Bowling Green,36
401013042,6,197,Oklahoma State,42,66,Iowa State,48
401012866,6,135,Minnesota,31,2294,Iowa,48
401013362,6,113,UMass,42,58,South Florida,58
401020755,6,2309,Kent State,26,195,Ohio,27
401013031,6,239,Baylor,37,2306,Kansas State,34
401012301,6,57,Florida,27,99,LSU,19
401013141,6,2390,Miami,28,52,Florida State,27
401012761,6,38,Colorado,28,9,Arizona State,21
401012303,6,145,Ole Miss,70,2433,Louisiana Monroe,21
401012855,6,194,Ohio State,49,84,Indiana,26
401022530,6,2439,UNLV,14,167,New Mexico,50
401015008,6,2226,Florida Atlantic,52,295,Old Dominion,33
401015009,6,2348,Louisiana Tech,7,5,UAB,28
401021671,6,326,Texas State,27,309,Louisiana,42
401019500,6,2116,UCF,48,2567,SMU,20
401019502,6,235,Memphis,55,41,Connecticut,14
401012306,6,245,Texas A&M,20,96,Kentucky,14
401015012,6,242,Rice,3,2636,UT San Antonio,20
401015011,6,2638,UTEP,24,249,North Texas,27
401012304,6,344,Mississippi State,23,2,Auburn,9
401013339,6,275,Wisconsin,41,158,Nebraska,24
401012302,6,61,Georgia,41,238,Vanderbilt,13
401012760,6,26,UCLA,24,264,Washington,31
401013143,6,259,Virginia Tech,23,87,Notre Dame,45
401013441,6,166,New Mexico State,49,2335,Liberty,41
401012762,6,204,Oregon State,37,265,Washington State,56
401012759,6,12,Arizona,24,25,California,17
401022529,6,23,San José State,30,36,Colorado State,42
401012763,6,24,Stanford,21,254,Utah,40
401022532,6,2440,Nevada,3,278,Fresno State,21
401022531,6,62,Hawai'i,17,2751,Wyoming,13
401021672,7,2032,Arkansas State,9,2026,Appalachian State,35
401021673,7,326,Texas State,13,290,Georgia Southern,15
401013076,7,2628,TCU,14,2641,Texas Tech,17
401019505,7,202,Tulsa,24,58,South Florida,25
401022533,7,21,San Diego State,21,2005,Air Force,17
401012764,7,254,Utah,42,12,Arizona,10
401012312,7,238,Vanderbilt,27,57,Florida,37
401020759,7,2199,Eastern Michigan,28,2649,Toledo,26
401020756,7,2084,Buffalo,24,2006,Akron,6
401012309,7,2,Auburn,24,2633,Tennessee,30
401012856,7,84,Indiana,16,2294,Iowa,42
401013061,7,2306,Kansas State,31,197,Oklahoma State,12
401013331,7,194,Ohio State,30,135,Minnesota,14
401012825,7,120,Maryland,34,164,Rutgers,7
401013340,7,77,Northwestern,34,158,Nebraska,31
401013145,7,59,Georgia Tech,14,150,Duke,28
401013144,7,103,Boston College,38,97,Louisville,20
401015018,7,242,Rice,0,5,UAB,42
401015017,7,249,North Texas,30,2572,Southern Mississippi,7
401013452,7,2335,Liberty,22,2653,Troy,16
401020810,7,193,Miami (OH),31,2309,Kent State,6
401013148,7,87,Notre Dame,19,221,Pittsburgh,14
401020760,7,189,Bowling Green,35,2711,Western Michigan,42
401020757,7,2117,Central Michigan,23,2050,Ball State,24
401019508,7,2426,Navy,17,218,Temple,24
401012883,7,213,Penn State,17,127,Michigan State,21
401012766,7,2483,Oregon,30,264,Washington,27
401012311,7,2579,South Carolina,23,245,Texas A&M,26
401015016,7,295,Old Dominion,20,276,Marshall,42
401013370,7,23,San José State,3,349,Army,52
401015013,7,2429,Charlotte,40,98,Western Kentucky,14
401020758,7,2459,Northern Illinois,24,195,Ohio,21
401013032,7,251,Texas,23,239,Baylor,17
401012310,7,99,LSU,36,61,Georgia,16
401019506,7,235,Memphis,30,2116,UCF,31
401012809,7,356,Illinois,7,2509,Purdue,46
401022535,7,36,Colorado State,20,167,New Mexico,18
401022536,7,328,Utah State,59,2439,UNLV,28
401013442,7,309,Louisiana,66,166,New Mexico State,38
401021675,7,6,South Alabama,45,2011,Alabama State,7
401021674,7,324,Coastal Carolina,20,2433,Louisiana Monroe,45
401013147,7,153,North Carolina,19,259,Virginia Tech,22
401012767,7,25,California,7,26,UCLA,30
401012307,7,333,Alabama,39,142,Missouri,10
401015015,7,2636,UT San Antonio,3,2348,Louisiana Tech,31
401013043,7,66,Iowa State,30,277,West Virginia,14
401013146,7,258,Virginia,16,2390,Miami,13
401019507,7,151,East Carolina,20,248,Houston,42
401012308,7,8,Arkansas,33,145,Ole Miss,37
401012893,7,130,Michigan,38,275,Wisconsin,13
401015014,7,2229,Florida International,24,2393,Middle Tennessee,21
401016408,7,252,BYU,49,62,Hawai'i,23
401022537,7,278,Fresno State,27,2751,Wyoming,3
401012765,7,30,USC,31,38,Colorado,20
401022534,7,2440,Nevada,27,68,Boise State,31
401021676,8,2032,Arkansas State,51,2247,Georgia State,35
401012768,8,9,Arizona State,13,24,Stanford,20
401022538,8,68,Boise State,56,36,Colorado State,28
401022539,8,2439,UNLV,35,2005,Air Force,41
401012867,8,2294,Iowa,23,120,Maryland,0
401019510,8,218,Temple,24,2132,Cincinnati,17
401013371,8,349,Army,31,193,Miami (OH),30
401020763,8,2649,Toledo,17,2084,Buffalo,31
401012316,8,145,Ole Miss,16,2,Auburn,31
401012846,8,164,Rutgers,15,77,Northwestern,18
401012810,8,275,Wisconsin,49,356,Illinois,20
401012884,8,127,Michigan State,7,130,Michigan,21
401013068,8,2628,TCU,27,201,Oklahoma,52
401012313,8,8,Arkansas,23,202,Tulsa,0
401013152,8,183,Syracuse,40,153,North Carolina,37
401013150,8,150,Duke,14,258,Virginia,28
401020762,8,195,Ohio,49,189,Bowling Green,14
401013453,8,2335,Liberty,48,304,Idaho State,41
401022540,8,2751,Wyoming,16,328,Utah State,24
401015021,8,276,Marshall,31,2226,Florida Atlantic,7
401020765,8,2117,Central Michigan,10,2711,Western Michigan,35
401020764,8,2050,Ball State,20,2199,Eastern Michigan,42
401015019,8,2393,Middle Tennessee,21,2429,Charlotte,13
401012318,8,2633,Tennessee,21,333,Alabama,58
401019512,8,2426,Navy,36,248,Houston,49
401012857,8,84,Indiana,28,213,Penn State,33
401015022,8,2348,Louisiana Tech,31,2638,UTEP,24
401019513,8,2655,Tulane,23,2567,SMU,27
401021677,8,2026,Appalachian State,27,309,Louisiana,17
401013151,8,52,Florida State,38,154,Wake Forest,17
401013149,8,228,Clemson,41,152,NC State,7
401020761,8,2309,Kent State,23,2006,Akron,24
401012772,8,264,Washington,27,38,Colorado,13
401013363,8,113,UMass,13,324,Coastal Carolina,24
401013332,8,158,Nebraska,53,135,Minnesota,28
401013052,8,2641,Texas Tech,48,2305,Kansas,16
401012771,8,204,Oregon State,7,25,California,49
401012317,8,142,Missouri,65,235,Memphis,33
401013443,8,166,New Mexico State,31,290,Georgia Southern,48
401015025,8,2572,Southern Mississippi,27,2636,UT San Antonio,17
401021678,8,2433,Louisiana Monroe,20,326,Texas State,14
401019509,8,151,East Carolina,10,2116,UCF,37
401019511,8,58,South Florida,38,41,Connecticut,30
401012315,8,99,LSU,19,344,Mississippi State,3
401012314,8,96,Kentucky,14,238,Vanderbilt,7
401013348,8,2509,Purdue,49,194,Ohio State,20
401012773,8,265,Washington State,34,2483,Oregon,20
401015023,8,5,UAB,29,249,North Texas,21
401022541,8,167,New Mexico,7,278,Fresno State,38
401015024,8,98,Western Kentucky,34,295,Old Dominion,37
401015020,8,2229,Florida International,36,242,Rice,17
401012770,8,254,Utah,41,30,USC,28
401012769,8,26,UCLA,31,12,Arizona,30
401022543,8,21,San Diego State,16,23,San José State,13
401022542,8,62,Hawai'i,22,2440,Nevada,40
