id,home_id,home_team,home_points,away_id,away_team,away_points,week
401114178,25,California,17,204,Oregon State,21,8
401121956,290,Georgia Southern,30,324,Coastal Carolina,27,8
401117526,2751,Wyoming,23,167,New Mexico,10,8
401114289,2348,Louisiana Tech,45,2572,Southern Mississippi,30,8
401121955,2026,Appalachian State,52,2433,Louisiana Monroe,7,8
401112489,259,Virginia Tech,43,153,North Carolina,41,8
401119281,2006,Akron,0,2084,Buffalo,21,8
401117883,2426,Navy,35,58,South Florida,3,8
401110828,344,Mississippi State,13,99,LSU,36,8
401114196,264,Washington,31,2483,Oregon,35,8
401117885,2132,Cincinnati,24,202,Tulsa,13,8
401112234,164,Rutgers,7,135,Minnesota,42,8
401117887,2567,SMU,45,218,Temple,21,8
401112486,258,Virginia,48,150,Duke,14,8
401112163,120,Maryland,28,84,Indiana,34,8
401114291,5,UAB,38,295,Old Dominion,14,8
401110830,238,Vanderbilt,21,142,Missouri,14,8
401114290,249,North Texas,33,2393,Middle Tennessee,30,8
401114286,98,Western Kentucky,30,2429,Charlotte,14,8
401112079,197,Oklahoma State,27,239,Baylor,45,8
401114292,2636,UT San Antonio,31,242,Rice,27,8
401114351,2335,Liberty,59,311,Maine,44,8
401114158,254,Utah,21,9,Arizona State,3,8
401110826,61,Georgia,21,96,Kentucky,0,8
401119286,2199,Eastern Michigan,34,2711,Western Michigan,27,8
401117529,23,San José State,17,21,San Diego State,27,8
401117884,2116,UCF,41,151,East Carolina,28,8
401117888,235,Memphis,47,2655,Tulane,17,8
401112102,251,Texas,50,2305,Kansas,48,8
401114187,265,Washington State,41,38,Colorado,10,8
401114329,2247,Georgia State,28,349,Army,21,8
401114287,2229,Florida International,32,2638,UTEP,17,8
401112487,154,Wake Forest,22,52,Florida State,20,8
401110827,145,Ole Miss,17,245,Texas A&M,24,8
401112226,213,Penn State,28,130,Michigan,21,8
401110824,333,Alabama,35,2633,Tennessee,13,8
401114169,30,USC,41,12,Arizona,14,8
401117215,252,BYU,28,68,Boise State,25,8
401117527,328,Utah State,36,2440,Nevada,10,8
401117525,62,Hawai'i,26,2005,Air Force,56,8
401117889,248,Houston,31,2567,SMU,34,9
401114188,38,Colorado,31,30,USC,35,9
401110835,245,Texas A&M,49,344,Mississippi State,30,9
401112494,221,Pittsburgh,12,2390,Miami,16,9
401114330,349,Army,29,23,San José State,34,9
401121957,6,South Alabama,3,2026,Appalachian State,30,9
401112266,164,Rutgers,44,2335,Liberty,34,9
401112254,194,Ohio State,38,275,Wisconsin,7,9
401112152,2509,Purdue,6,356,Illinois,24,9
401112197,77,Northwestern,0,2294,Iowa,20,9
401112110,2306,Kansas State,48,201,Oklahoma,41,9
401119288,2711,Western Michigan,49,189,Bowling Green,10,9
401114298,242,Rice,6,2572,Southern Mississippi,20,9
401119292,2050,Ball State,21,195,Ohio,34,9
401117533,2751,Wyoming,31,2440,Nevada,3,9
401114297,276,Marshall,26,98,Western Kentucky,23,9
401114344,290,Georgia Southern,41,166,New Mexico State,7,9
401112132,2628,TCU,37,251,Texas,27,9
401112207,135,Minnesota,52,120,Maryland,10,9
401114295,295,Old Dominion,3,2226,Florida Atlantic,41,9
401114294,2393,Middle Tennessee,50,2229,Florida International,17,9
401119287,2459,Northern Illinois,49,2006,Akron,0,9
401114357,113,UMass,35,41,Connecticut,56,9
401119289,2084,Buffalo,43,2117,Central Michigan,20,9
